Resultados:
Total de salas alocadas: 64
Tempo de execução: 0.009716999999999976s
Salar Alocadas: 
          101        103        105        107        102        104        1          2          3          4          5          6  
0   1704151/1  1704173/1  1704182/1  1704183/1  1704208/1  1702116/1  1703146/2  1703154/3  1703156/1  1704110/1  1701450/1  1703154/1
1   1704151/1  1704173/1  1704182/1  1704183/1  1704208/1  1702116/1  1703146/2  1703154/3  1703156/1  1704110/1  1701450/1  1703154/1
2   1704159/2  1704180/2  1704186/1  1704186/2  1704187/1  1704188/1  1702119/1  1703154/3  1703156/1  1701115/3  1705109/3  1705110/1
3   1704159/2  1704180/2  1704186/1  1704186/2  1704187/1  1704188/1  1702119/1  1000007/1  1702100/1  1701115/3  1702101/1  1705110/1
4   1704159/2  1704180/2  1704186/1  1704186/2  1704187/1  1704188/1  1701137/1  1000007/1  1702100/1  1701137/1  1702101/1  1705110/1
5   1701135/1  1701166/1  1705100/1          0          0          0  1704176/1  1000001/1  1000003/3  1701139/1  1703115/1  1703146/1
6   1701135/1  1701166/1  1705100/1  1704196/1  1703141/1  1701115/1  1704176/1  1000001/1  1000003/3  1701139/1  1703115/1  1703146/1
7   1704155/2  1704154/1  1704179/2  1704196/1  1703141/1  1701115/1  1704184/1  1704185/1  1705102/1  1703109/1  1704108/5  1704110/2
8   1704155/2  1704154/1  1704179/2  1704196/1  1702127/2  1700507/1  1704184/1  1704185/1  1705102/1  1703109/1  1704108/5  1704110/2
9   1704155/2  1704154/1  1704179/2  1703153/1  1702127/2  1700507/1  1704184/1  1704185/1  1702139/1          0  1704108/5  1704110/2
10          0          0  1701159/2  1703153/1          0          0          0          0  1702139/1  1701159/2          0          0
11  1204115/2  1204115/3  1701159/2  1703103/1  1703124/1  1703159/2  1204115/2  1204115/3  1703103/1  1701159/2  1703103/1  1703124/1
12  1204115/2  1204115/3          0  1703103/1  1703124/1  1703159/2  1204115/2  1204115/3  1703103/1          0  1703103/1  1703124/1
13          0          0          0  1703103/1  1703124/1          0          0          0  1703103/1          0  1703103/1  1703124/1
