Resultados:
Total de turmas: 158
Atendimento dos requisitos não essenciais: 291
Tempo de execução: 0.0011837999999999571s
Salas Alocadas: 
                                V109                              V007                             V107                               V006                                 V104                                V003                           V008  V103  V105  V106  V108  V009  V101B  V101A  V102B  V102A  V112A  V112B
0                                  0                                 0                                0                                  0                                    0                                   0                              0     0     0     0     0     0      0      0      0      0      0      0
1    [DA23CV, 1, 4, 40, 3CV, [M, V]]   [PG22NB, 1, 2, 14, 2EL, [M, V]]  [PC29MC, 1, 2, 10, 9MC, [M, V]]                                  0                                    0                                   0                              0     0     0     0     0     0      0      0      0      0      0      0
2    [DA23CV, 1, 4, 40, 3CV, [M, V]]   [PG22NB, 1, 2, 14, 2EL, [M, V]]  [PC29MC, 1, 2, 10, 9MC, [M, V]]                                  0                                    0                           RESERVADO                              0     0     0     0     0     0      0      0      0      0      0      0
3    [DA23CV, 1, 4, 40, 3CV, [M, V]]   [EM27MC, 3, 4, 18, 8MC, [M, V]]  [PA28CP, 3, 4, 16, 8CP, [V, N]]    [PG22NB, 3, 4, 13, 2EL, [M, V]]                                    0                           RESERVADO                              0     0     0     0     0     0      0      0      0      0      0      0
4    [DA23CV, 1, 4, 40, 3CV, [M, V]]   [EM27MC, 3, 4, 18, 8MC, [M, V]]  [PA28CP, 3, 4, 16, 8CP, [V, N]]    [PG22NB, 3, 4, 13, 2EL, [M, V]]                                    0                                   0                              0     0     0     0     0     0      0      0      0      0      0      0
5    [ES26CP, 5, 5, 24, 6CP, [V, N]]                                 0                                0                                  0                                    0                                   0                              0     0     0     0     0     0      0      0      0      0      0      0
6    [AE23CP, 6, 7, 44, 3CP, [V, N]]   [CO28CP, 6, 7, 35, 6CP, [V, N]]                                0    [SR24CV, 6, 9, 21, 4CV, [M, V]]      [IS29CP, 6, 7, 17, 9CP, [V, N]]                                   0                              0     0     0     0     0     0      0      0      0      0      0      0
7    [AE23CP, 6, 7, 44, 3CP, [V, N]]   [CO28CP, 6, 7, 35, 6CP, [V, N]]    [DT21G, 7, 9, 31, 1G, [M, V]]    [SR24CV, 6, 9, 21, 4CV, [M, V]]      [IS29CP, 6, 7, 17, 9CP, [V, N]]                                   0                              0     0     0     0     0     0      0      0      0      0      0      0
8                                  0  [AE22CP, 8, 9, 22, 2CPA, [V, N]]    [DT21G, 7, 9, 31, 1G, [M, V]]    [SR24CV, 6, 9, 21, 4CV, [M, V]]                                    0                                   0                              0     0     0     0     0     0      0      0      0      0      0      0
9   [SO25CP, 9, 10, 32, 7CP, [V, N]]  [AE22CP, 8, 9, 22, 2CPA, [V, N]]    [DT21G, 7, 9, 31, 1G, [M, V]]    [SR24CV, 6, 9, 21, 4CV, [M, V]]                                    0                                   0                              0     0     0     0     0     0      0      0      0      0      0      0
