Resultados:
Total de turmas: 158
Atendimento dos requisitos não essenciais: 726
Tempo de execução: 0s
Salas Alocadas: 
    V109                            V007                          V107                         V006                         V104  V003                          V008  V103  V105                         V106                          V108                         V009  V101B                         V101A  V102B                        V102A  V112A  V112B
0      0                               0                             0                            0                            0     0                             0     0     0                            0                             0                            0      0                             0      0                            0      0      0
1      0                               0                             0                            0                            0     0                             0     0     0  [PC29MC, 1, 2, 10, 9MC, MC]                             0                            0      0   [PG22NB, 1, 2, 14, 2EL, EL]      0                            0      0      0
2      0                               0                             0                            0                            0     0                             0     0     0  [PC29MC, 1, 2, 10, 9MC, MC]                             0                            0      0   [PG22NB, 1, 2, 14, 2EL, EL]      0                            0      0      0
3      0                               0                             0                            0  [PA28CP, 3, 4, 16, 8CP, CP]     0                             0     0     0                            0                             0  [EM27MC, 3, 4, 18, 8MC, MC]      0                             0      0  [PG22NB, 3, 4, 13, 2EL, EL]      0      0
4      0                               0                             0                            0  [PA28CP, 3, 4, 16, 8CP, CP]     0                             0     0     0                            0                             0  [EM27MC, 3, 4, 18, 8MC, MC]      0                             0      0  [PG22NB, 3, 4, 13, 2EL, EL]      0      0
5      0                               0                             0                            0                            0     0                             0     0     0                            0   [ES26CP, 5, 5, 24, 6CP, CP]                            0      0                             0      0                            0      0      0
6      0                               0                             0  [SR24CV, 6, 9, 21, 4CV, CV]                            0     0                             0     0     0                            0                             0                            0      0                             0      0  [IS29CP, 6, 7, 17, 9CP, CP]      0      0
7      0       [DT21G, 7, 9, 31, 1G, 1G]                             0  [SR24CV, 6, 9, 21, 4CV, CV]                            0     0                             0     0     0                            0                             0                            0      0                             0      0  [IS29CP, 6, 7, 17, 9CP, CP]      0      0
8      0       [DT21G, 7, 9, 31, 1G, 1G]                             0  [SR24CV, 6, 9, 21, 4CV, CV]                            0     0  [AE22CP, 8, 9, 22, 2CPA, CP]     0     0                            0                             0                            0      0                             0      0                            0      0      0
9      0       [DT21G, 7, 9, 31, 1G, 1G]                             0  [SR24CV, 6, 9, 21, 4CV, CV]                            0     0  [AE22CP, 8, 9, 22, 2CPA, CP]     0     0                            0                             0                            0      0                             0      0                            0      0      0
10     0                               0                             0                            0                            0     0                             0     0     0                            0                             0                            0      0  [LR23S, 10, 10, 20, 3SI, SI]      0                            0      0      0
11     0  [AE22CP, 11, 12, 22, 2CPA, CP]                             0                            0                            0     0                             0     0     0                            0                             0                            0      0                             0      0                            0      0      0
12     0  [AE22CP, 11, 12, 22, 2CPA, CP]                             0                            0                            0     0                             0     0     0                            0                             0                            0      0                             0      0                            0      0      0
13     0                               0  [IH24S, 13, 15, 12, 3SI, SI]                            0                            0     0  [GP26S, 13, 15, 23, 5SI, SI]     0     0                            0                             0                            0      0                             0      0                            0      0      0
14     0                               0  [IH24S, 13, 15, 12, 3SI, SI]                            0                            0     0  [GP26S, 13, 15, 23, 5SI, SI]     0     0                            0  [SE25A, 14, 15, 10, 5AS, AS]                            0      0                             0      0                            0      0      0
15     0                               0  [IH24S, 13, 15, 12, 3SI, SI]                            0                            0     0  [GP26S, 13, 15, 23, 5SI, SI]     0     0                            0  [SE25A, 14, 15, 10, 5AS, AS]                            0      0                             0      0                            0      0      0

    V109                          V007  V107                         V006                          V104                          V003                         V008  V103                         V105                         V106  V108  V009  V101B  V101A                         V102B  V102A                        V112A  V112B
0      0                             0     0                            0                             0                             0                            0     0                            0                            0     0     0      0      0                             0      0                            0      0
1      0                             0     0                            0                             0                             0                            0     0  [EG21NB, 1, 4, 13, 1CV, CV]                            0     0     0      0      0                             0      0                            0      0
2      0                             0     0                            0                             0                             0                            0     0  [EG21NB, 1, 4, 13, 1CV, CV]                            0     0     0      0      0                             0      0                            0      0
3      0                             0     0  [PC29MC, 3, 4, 10, 9MC, MC]                             0                             0                            0     0  [EG21NB, 1, 4, 13, 1CV, CV]  [CP21NB, 3, 4, 20, 1MC, MC]     0     0      0      0                             0      0  [PA28CP, 3, 4, 16, 8CP, CP]      0
